Tool,DAIV,,Selforacle 9999,,Human,,,,,,,,,,,Selforacle 95,,Selforacle 99,,Selforacle 999,,Selforacle 99999,
,ID,OOD,ID,OOD,ID,OOD,Disagreement,Agreement,%ID ,%OOD,True Misclassifications (%),TM,FM,,,ID,OOD,ID,OOD,ID,OOD,ID,OOD
DJ,97,3,100,0,96,0,4,96,100,0,"92,70833333",89,7,,,85,15,100,0,100,0,100,0
DLF,37,63,85,15,99,0,1,99,100,0,"98,98989899",98,1,,,7,93,32,68,85,15,85,15
DX,35,65,35,65,75,18,7,93,"80,64516129","19,35483871",92,69,6,,,34,66,35,65,35,65,35,65
FPT,90,10,100,0,93,1,6,94,"98,93617021","1,063829787","53,76344086",50,43,,,88,12,100,0,100,0,100,0
SV,97,3,100,0,96,0,4,96,100,0,"58,33333333",56,40,,,95,5,99,1,100,0,100,0
TOT,"71,2","28,8",84,16,"91,8","3,8","4,4",,"95,9162663","4,083733699","79,1590013",,,,,"61,8","38,2","73,2","26,8",84,16,84,16
