Tool,DAIV,,Selforacle 9999,,Human,,,,,,,,Selforacle 95,,Selforacle 99,,Selforacle 999,,Selforacle 99999,
,ID,OOD,ID,OOD,ID,OOD,Disagreement,Agreement,% ID,% OOD,True Misclassifications,,ID,OOD,ID,OOD,ID,OOD,ID,OOD
DLF,20,0,20,0,20,0,0,20,100,0,95,,20,0,20,0,20,0,20,0
DX,20,0,20,0,18,2,0,20,90,10,"94,44444444",,20,0,20,0,20,0,20,0
FPT,20,0,20,0,20,0,0,20,100,0,100,,20,0,20,0,20,0,20,0
SV,20,0,20,0,6,4,10,10,60,40,"83,33333333",,20,0,20,0,20,0,20,0
TOT,20,0,20,0,16,"1,5","2,5","17,5","87,5","12,5","93,19444444",,20,0,20,0,20,0,20,0
