Tool,DAIV,,Selforacle 9999,,Human,,,,,,,,Selforacle 95,,Selforacle 99,,Selforacle 999,,Selforacle 99999,
,ID,OOD,ID,OOD,ID,OOD,Disaagreement,Agreement,%ID ,%OOD,True Misclassifications,,ID,OOD,ID,OOD,ID,OOD,ID,OOD
DJ,0,100,1,99,46,30,24,76,"60,52631579","39,47368421","8,695652174",,0,100,0,100,1,99,1,99
DLF,100,0,100,0,70,3,27,73,"95,89041096","4,109589041",50,,97,3,98,2,100,0,100,0
DX,51,49,99,1,52,16,32,68,"76,47058824","23,52941176","78,84615385",,67,33,67,33,92,8,99,1
FPT,99,1,100,0,61,14,25,75,"81,33333333","18,66666667","45,90163934",,99,1,99,1,100,0,100,0
SV,100,0,100,0,67,7,26,74,"90,54054054","9,459459459","8,955223881",,99,1,99,1,100,0,100,0
TOT,70,30,80,20,"59,2",14,"26,8","73,2","80,95223777","19,04776223","38,47973385",,"72,4","27,6","72,6","27,4","78,6","21,4",80,20
